央视,#genre#
青海卫视,http://218.17.196.234:9901/tsfile/live/0140_1.m3u8

宁夏卫视,http://hms2844nc1972666628.live.aikan.miguvideo.com/wh7f454c46tw1590245808_-2084121214/envivo_x/2018/SD/ningxia/1000/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=139.198.127.250&timestamp=20230816073740&ContentId=531261057&timezone=UTC&mtv_session=83a38128827a852ce1724296852f857e&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=17f4b89974b2ed1e654453d44f9968b1&咪咕
宁夏卫视,https://cntv.sbs/tv?auth=231005&id=nxws
宁夏卫视,http://hls.live.cqccn.com/__cl/cg:live/__c/ningxia/__op/default/__f/index.m3u8
宁夏卫视,http://111.40.196.31:443/PLTV/88888888/224/3221225530/1.m3u8
宁夏卫视,http://111.40.196.37:443/PLTV/88888888/224/3221225530/1.m3u8

新疆卫视,http://hms2844nc1972666628.live.aikan.miguvideo.com/wh7f454c46tw1593800523_-1493781639/wd-xinjiangwssd-600/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=139.198.127.250&timestamp=20230816073743&ContentId=531262095&timezone=UTC&mtv_session=864a45b4901ac5ef45e66eda73f46964&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=2ecb1cbf330584c821ad5f41b74ff983&咪咕
新疆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225635/index.m3u8
新疆卫视,https://cntv.sbs/tv?auth=231005&id=xjws
新疆卫视,http://111.40.196.28:443/PLTV/88888888/224/3221225598/1.m3u8
新疆卫视,http://221.2.36.34:8888/newlive/live/hls/38/live.m3u8

兵团卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226214/index.m3u8
兵团卫视,http://113.117.74.28:8081/hls/102/index.m3u8
兵团卫视,https://tv.youshijiea.cn/uploads/itvbox/cqgd.php?id=bingtuanSD
兵团卫视,https://cntv.sbs/tv?auth=231005&id=btws


福建,#genre#
福建·综合,http://p2.weizan.cn/11844069/132114573749498521/live.m3u8
福建·福州综合,http://live.zohi.tv/video/s10001-fztv-1/index.m3u8
福建·福州影视,http://live.zohi.tv/video/s10001-fztv-2/index.m3u8
福建·福州生活,http://live.zohi.tv/video/s10001-fztv-3/index.m3u8
福建·福州少儿,http://live.zohi.tv/video/s10001-fztv-4/index.m3u8
福建·泉州1,rtmp://live.qztv.cn/live/news
福建·泉州4,rtmp://live.qztv.cn/live/mny
福建·三明新闻综合,http://stream.smntv.cn/smtv1/sd/live.m3u8
福建·三明公共频道,http://stream.smntv.cn/smtv2/sd/live.m3u8
福建·龙岩综合,http://live.lytv.net.cn/zhpwd/hd/live.m3u8
福建·龙岩公共,http://live.lytv.net.cn/ggpd/sd/live.m3u8
福建·晋江电视台,http://stream.jinjiang.tv/1/sd/live.m3u8
福建·莆田公共,http://api.mydianshijia.com/gslb/live?stream_id=py_pt2&type=.m3u8
福建·将乐综合,http://218.106.152.196/lsdream/9nbYeUc/1000/live.m3u8
福建·泰宁综合,https://p2.weizan.cn/2123201810/941522397962841708/live.m3u8
福建·霞浦综合,http://218.106.152.196/lsdream/G7wCyZW/4000/live.m3u8
福建·石狮综合,http://218.106.152.196/lsdream/MO13IYx/2000/live.m3u8
福建·新罗电视一套,http://stream.lyxltv.com/xltv/sd/live.m3u8
福建·永安综合,http://218.106.152.196/lsdream/x6FnPrm/2000/live.m3u8
福建·漳州一套,http://31182.hlsplay.aodianyun.com/lms_31182/tv_channel_175.m3u8
福建·永泰综合,http://ytrmtzx.com:8278/yongtaipindao1/playlist.m3u8

港•澳•台,#genre#
凤凰资讯台,http://210.210.155.37/qwr9ew/s/s21/01.m3u8?app_type=web&userid=50n13N0v14nd1&tkn=829341hrjhaq0q30q&chname=Phoenix
凤凰中文台,http://210.210.155.37/uq2663/h/h157/index2.m3u8?app_type=web&userid=50n13N0v14nd1&tkn=829341hrjhaq0q30q&chname=Phoenix_Chinese
天映经典,http://210.210.155.35/qwr9ew/s/s31/index.m3u8?app_type=web&userid=50n13N0v14nd1&tkn=829341hrjhaq0q30q&chname=CCM_Celestial_Classic_MV-
